"impcParameterOrigId","name","description","parameterId"
17757," % Pre-pulse inhibition - Global"," _pre_pulse_inhibition_global"," IMPC_ACS_037_001"
17753," % Pre-pulse inhibition - PPI1"," _pre_pulse_inhibition_pp1"," IMPC_ACS_033_001"
17754," % Pre-pulse inhibition - PPI2"," _pre_pulse_inhibition_pp2"," IMPC_ACS_034_001"
17755," % Pre-pulse inhibition - PPI3"," _pre_pulse_inhibition_pp3"," IMPC_ACS_035_001"
17756," % Pre-pulse inhibition - PPI4"," _pre_pulse_inhibition_pp4"," IMPC_ACS_036_001"
29212," 12kHz-evoked ABR Threshold"," 12khz_evoked_abr_threshold"," IMPC_ABR_006_001"
29213," 12kHz-evoked ABR waveforms (numerical format)"," 12khz_evoked_abr_waveforms_numerical_format_"," IMPC_ABR_007_001"
29214," 18kHz-evoked ABR Threshold"," 18khz_evoked_abr_threshold"," IMPC_ABR_008_001"
29215," 18kHz-evoked ABR waveforms (numerical format)"," 18khz_evoked_abr_waveforms_numerical_format_"," IMPC_ABR_009_001"
29216," 24kHz-evoked ABR Threshold"," 24khz_evoked_abr_threshold"," IMPC_ABR_010_001"
29217," 24kHz-evoked ABR waveforms (numerical format)"," 24khz_evoked_abr_waveforms_numerical_format_"," IMPC_ABR_011_001"
29218," 30kHz-evoked ABR Threshold"," 30khz_evoked_abr_threshold"," IMPC_ABR_012_001"
29219," 30kHz-evoked ABR waveforms (numerical format)"," 30khz_evoked_abr_waveforms_numerical_format_"," IMPC_ABR_013_001"
29210," 6kHz-evoked ABR Threshold"," 6khz_evoked_abr_threshold"," IMPC_ABR_004_001"
29211," 6kHz-evoked ABR waveforms (numerical format)"," 6khz_evoked_abr_waveforms_numerical_format_"," IMPC_ABR_005_001"
41917," Abnormal Gastrulation"," abnormal_gastrulation"," IMPC_GEL_010_001"
44542," Absent heartbeat"," absent_heartbeat"," IMPC_GEO_007_002"
18111," Acclimation to respirometry cages"," acclimation_to_respirometry_cages"," IMPC_CAL_012_001"
52063," Acclimatisation time (minimum)"," acclimatisation_time_minimum"," IMPC_YMZ_011_001"
38127," Activity (body position)"," activity_body_position_"," IMPC_CSD_029_001"
22693," Additional tissues"," additional_tissues"," IMPC_BLK_042_001"
27568," Adrenal gland"," adrenal"," IMPC_ALZ_001_001"
36954," Adrenal gland"," adrenal_gland"," IMPC_PAT_018_002"
27333," Age of set up"," age_of_set_up"," IMPC_FER_014_001"
38162," Aggression"," aggression"," IMPC_CSD_079_001"
