"impcParameterOrigId","name","description","parameterId"
17757,"% Pre-pulse inhibition - Global","_pre_pulse_inhibition_global","IMPC_ACS_037_001"
17753,"% Pre-pulse inhibition - PPI1","_pre_pulse_inhibition_pp1","IMPC_ACS_033_001"
17754,"% Pre-pulse inhibition - PPI2","_pre_pulse_inhibition_pp2","IMPC_ACS_034_001"
17755,"% Pre-pulse inhibition - PPI3","_pre_pulse_inhibition_pp3","IMPC_ACS_035_001"
17756,"% Pre-pulse inhibition - PPI4","_pre_pulse_inhibition_pp4","IMPC_ACS_036_001"
36704,"% embryos WT",NA,"IMPC_EVP_017_001"
36705,"% embryos heterozygous",NA,"IMPC_EVP_018_001"
36706,"% embryos homozygous",NA,"IMPC_EVP_019_001"
31399,"% female WT",NA,"IMPC_VIA_023_001"
31400,"% female heterozygous",NA,"IMPC_VIA_024_001"
31401,"% female homozygous",NA,"IMPC_VIA_025_001"
31396,"% male WT",NA,"IMPC_VIA_020_001"
31397,"% male heterozygous",NA,"IMPC_VIA_021_001"
31398,"% male homozygous",NA,"IMPC_VIA_022_001"
31391,"% pups WT",NA,"IMPC_VIA_015_001"
31394,"% pups heterozygous",NA,"IMPC_VIA_018_001"
31395,"% pups homozygous",NA,"IMPC_VIA_019_001"
29212,"12kHz-evoked ABR Threshold","12khz_evoked_abr_threshold","IMPC_ABR_006_001"
29213,"12kHz-evoked ABR waveforms (numerical format)","12khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_007_001"
29214,"18kHz-evoked ABR Threshold","18khz_evoked_abr_threshold","IMPC_ABR_008_001"
29215,"18kHz-evoked ABR waveforms (numerical format)","18khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_009_001"
72186,"1st arch artery",NA,"IMPC_EOL_025_001"
72185,"1st branchial arch",NA,"IMPC_EOL_024_001"
29216,"24kHz-evoked ABR Threshold","24khz_evoked_abr_threshold","IMPC_ABR_010_001"
29217,"24kHz-evoked ABR waveforms (numerical format)","24khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_011_001"
72188,"2nd arch artery",NA,"IMPC_EOL_027_001"
72187,"2nd branchial arch",NA,"IMPC_EOL_026_001"
29218,"30kHz-evoked ABR Threshold","30khz_evoked_abr_threshold","IMPC_ABR_012_001"
29219,"30kHz-evoked ABR waveforms (numerical format)","30khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_013_001"
72191,"3rd arch artery",NA,"IMPC_EOL_030_001"
72190,"3rd branchial arch",NA,"IMPC_EOL_029_001"
