"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id"
"MGI:2146785","Gpsm3","C57BL","Early adult","ESLIM_015_001_010",0.4790378,"Phosphorus","Inf"
"Early adult","0.6159801","MGI:88439","White blood cell count","C57BL",NA,"0092bs01gel04of","IMPC_HEM_001_001"
"MGI:99502","0356584uolmb17r","C57BL","IMPC_OFD_007_001","Early adult",NA,"Whole arena resting time","0.129436"
"MGI:2685830","Nsl1","C57BL","Early adult","ESLIM_015_001_002",1.290802,"Urea","03p6ee12c3c35p6"
"Srbd1","Late adult","0.6633661","MGI:1925836","0402zup28o697s3",NA,"CD11b-low cDC - % of cDC","MGP_IMM_067_001"
"MGI:1923760","Trappc9","C57BL","Early adult","IMPC_OFD_009_001",1.227141,"Whole arena average speed","062422va1471l62"
"MGI:1914281","Upf3a","C57BL","Early adult","HRWLLA_OFD_010_001",1.235084,"Periphery distance travelled","0700os4m3p1y5l1"
"0.5686469","Urb1","PBS Tidal volume","080psxy0j8twx7r","TCP_CHL_057_001",NA,"MGI:2146468","Early adult"
"MGI:1913687","Fis1","C57BL","Early adult","GMC_906_001_016",1.463432,"Alpha-amylase","0815g4f33q09f47"
"08647sz0hj8p54h","Aftph","C57BL","0.2118811","Early adult",NA,"spina bifida","IMPC_GEO_043_002"
"MGI:107576","Sipa1","C57BL","Early adult","IMPC_OFD_007_001",1.451045,"Whole arena resting time","088013y317l67h2"
"MGI:1922248","Rab11fip2","C57BL","Early adult","JAX_LDT_005_001",1.338373,"Time mobile dark side","08pa3776v5700wk"
"MGI:3037818","Cxcl3","C57BL","Early adult","IMPC_GEO_043_002",1.138258,"spina bifida","092v3e6q9bh3u80"
"Kyphosis","Early adult","C57BL","Mprip","093357g29057hw2",NA,"MGI:1349438","0.5112255"
"Early adult","Pheta1","0.1354177","C57BL","0bmv8h9elrmp32o",NA,"MGI:2442708","IMPC_ACS_034_001"
"Forelimb and hindlimb grip strength measurement mean","MGI:3648212","C57BL","0.3728522","Klhdc7b",NA,"Middle aged adult","IMPC_GRS_009_001"
"Early adult","MGI:1927204","0.1406809","0h4dq79u1v7t02k","Gosr2",NA,"C57BL","Pelvis"
"MGI:104859","Selenbp2","C57BL","Early adult","IMPC_OFD_021_001",1.455793,"Number of rears - total","0h7817z81p2m31k"
"MGI:1917036","Tprkb","C57BL","Early adult","CCP_XRY_018_001",1.427449,"Shape of vertebrae","0ho9v6y1e6pzn54"
"MGI:2684762","Lzts1","C57BL","Early adult","IMPC_OFD_013_001",1.395123,"Periphery average speed","0l39mw6fm34q8i7"
"MGI:1276533","Ncoa2","C57BL","Early adult","IMPC_CSD_078_001",1.378941,"Vocalization","0ngb20kp8d81x64"
"MGI:1927204","Gosr2","C57BL","Early adult","IMPC_IPG_012_001",-0.2055957,"Area under glucose response curve","0nyh6qpj4octt93"
"0o369onj7xwa43t","MGI:2143539","0.4928822","IMPC_ABR_008_001","Late adult",NA,"C57BL","Gls2"
"MGI:3648212","Klhdc7b","C57BL","Early adult","IMPC_EYE_069_001",1.066738,"Left inner nuclear layer","0p73903ji90o84p"
"MGI:2445173","Mean corpuscular hemoglobin","C57BL","Early adult","Ppig",NA,"0u13c5dy02s4ns1","0.5191196"
"MGI:107162","Ppp3cc","C57BL","Early adult","IMPC_EYE_092_002",1.035493,"Retina (combined)","0u70fso8474cxl4"
"IMPC_HEM_002_001","MGI:2445173","Ppig","Early adult","Red blood cell count",0.9164184,"C57BL","0x09i44f20v5n3l"
"MGI:1915383","Gcsh","C57BL","Early adult","IMPC_GRS_009_001",1.075011,"Forelimb and hindlimb grip strength measurement mean","0x1jupl7e4am2jm"
"Nox1","MGI:2450016","0.1246501","Center distance travelled","0x8uf03ye574gh2",NA,"C57BL","HRWLLA_OFD_014_001"
"MGI:88587","Cyp19a1","C57BL","Middle aged adult","IMPC_OFD_010_001",1.33762,"Periphery distance travelled","0zmnp6jz3c73xh6"
"0.2689001","Early adult","Baz2b","Head bobbing","IMPC_CSD_080_001",NA,"MGI:2442782","10jd9p518g7dm5z"
"Rab12","10r5z87q3e1765z","IMPC_CBC_001_001","C57BL","Early adult",NA,"MGI:894284","0.6049609"
"ESLIM_013_001_001","10vwgj30kg8w2xe","Ipo8","C57BL","Early adult",NA,"MGI:2444611","0.8408819"
"Early adult","Cxcl3","JAX_LDT_005_001","Time mobile dark side","MGI:3037818",NA,"0.2668924","C57BL"
"GMC_908_001_001","Early adult","1286f80109595av","C57BL","MGI:3648212",0.1771406,"Bodyweight","Klhdc7b"
"MGI:1353578","Pttg1","C57BL","Early adult","HRWLLA_HEM_036_001",1.205697,"Eosinophil cell count","1301e049ko71u18"
"Iws1","BN startle magnitude","0.3496113","Early adult","MGI:1920723",NA,"C57BL","ESLIM_011_001_001"
"MGI:1925927","Rnf20","C57BL","E15.5","ESLIM_015_001_010",1.124351,"Phosphorus","13id1zyd950b4w2"
"MGI:2143539","Gls2","C57BL","Middle aged adult","IMPC_CSD_036_001",-0.3405626,"Startle response","148s2y581v57894"
"MGI:1277143","Gtf2h3","C57BL","Early adult","IMPC_CBC_014_001",1.052042,"Alkaline phosphatase","151vf969ef2o6v5"
"MGI:1277143","Gtf2h3","C57BL","E12.5","ESLIM_013_001_005",1.333184,"Left retina structure","152998305488p1l"
"MGI:1349438","Mprip","C57BL","E12.5","JAX_OFD_020_001",1.31495,"Distance travelled - total","15ihanyb396l67d"
"MGI:2685047","Hmcn1","C57BL","Early adult","GMC_921_001_002",-0.3596625,"Body weight","19j7re99qfa5t52"
"MGI:1333883","Creatinine","Lats1","IMPC_CBC_005_001","1c76537az7iflin",NA,"0.8047623","C57BL"
"MGI:1925836","Srbd1","C57BL","Late adult","IMPC_OFD_014_001",1.44051,"Center distance travelled","1co9b1z18b7z7p0"
"MGI:1915926","Dusp22","C57BL","Early adult","IMPC_CBC_006_001",1.145629,"Total protein","1d66j884e77v508"
"MGI:2684916","0.2209003","Tremor","Ppp1r36","Early adult",NA,"1e9k4rlz31da4cb","HRWLLA_CSD_030_001"
"1f821q5h58303g1","Limb grasp","JAXLA_CSD_039_001","0.6272784","Early adult",NA,"Lrrtm3","C57BL"
"MGI:1929260","Mtch2","C57BL","Early adult","IMPC_CSD_010_001",1.32057,"Coat - color pattern - abdomen","1hp4393oa56q1h5"
"mgi:1336186","Agpat3","129SV","Early adult","ESLIM_008_001_001",1.432598,"Body position","1i0bf9pkb2z98a3"
"MGI:1914815","Gramd2b","C57BL","Late adult","IMPC_EYE_023_001",1.470431,"Optic Disc","1jry213e3lka544"
"Zc3h4","IMPC_DXA_006_001","1k1vk8387teks3y","E15.5","0.538664",NA,"MGI:2682314","Body length"
"MGI:2143539","Gls2","C57BL","Early adult","HRWLLA_OFD_050_001",1.421783,"Percentage center movement time","1n605i2130s64q1"
"MGI:2682314","Zc3h4","C57BL","Early adult","IMPC_INS_001_001",-0.272069,"Insulin","1o4540gr4356ex9"
"MGI:1914109","Slc16a9","C57BL","Early adult","HRWLLA_CSD_032_001",1.16273,"Locomotor activity","1qg7vc3178hwd53"
"MGI:2389177","Lrrtm3","C57BL","Early adult","IMPC_CSD_039_001",1.032143,"Limb grasp","1sfvo3pbghc1rr3"
"MGI:107634","Larp7","C57BL","Early adult","IMPC_XRY_033_001",1.311309,"Tibia length","1w854e30080l043"
"MGI:2684916","Ppp1r36","C57BL","Early adult","IMPC_DXA_004_001",1.365975,"Bone Mineral Density (excluding skull)","1x4l953j8h16358"
"1y6c8gg15t93jac","C57BL","Aftph","Early adult","Transitional vertebrae",NA,"0.0823296","MGI:1923012"
"MGI:1923760","0.5051984","C57BL","GMC_920_001_001","1z155w20n862nzx",NA,"Early adult","Trappc9"
"MGI:1344333","Mid2","C57BL","Early adult","JAXLA_CSD_007_001",1.306018,"Coat - color - abdomen","1z1qt2np2c5lnx5"
"MGI:894284","Rab12","C57BL","Early adult","IMPC_HEM_031_001",1.167848,"Lymphocyte differential count","2176hw1y1dlp8vk"
"0.7264305","GMC_923_001_001","Body weight","Lgals4","Early adult",NA,"C57BL","21o731dhgph1s0h"
"MGI:107634","Larp7","C57BL","Early adult","IMPC_CBC_014_001",1.298233,"Alkaline phosphatase","235r5v61g31q060"
"Periphery distance travelled","24619f75rm2ap88","Prepl","HRWLLA_OFD_010_001","Early adult",NA,"0.4093572","C57BL"
"24653494k90r936","MGI:1923760","Calcium","C57BL","ESLIM_015_001_009",NA,"Trappc9","0.1729578"
"24765708tx8bc9u","Early adult","Periphery permanence time","MGI:1923760","C57BL",NA,"0.1200713","Trappc9"
"MGI:3040687","Spag6","C57BL","Early adult","CCP_XRY_018_001",1.067,"Shape of vertebrae","2481o1525vyby33"
"MGI:2442708","Pheta1","C57BL","Early adult","IMPC_CBC_002_001",1.341763,"Potassium","25013880v5sb4jo"
"HRWLLA_OFD_009_001","E15.5","C57BL","MGI:1925927","Whole arena average speed",NA,"Rnf20","0.4708431"
"Coat - color - abdomen","IMPC_CSD_007_001","25pl7l5tf3v83i5","Early adult","Sipa1",NA,"MGI:107576","0.2858578"
"Spag6","27wp80a5re2n26d","Bodyweight","GMC_908_001_001","C57BL",NA,"0.1658252","Early adult"
"MGI:2682314","Zc3h4","C57BL","E15.5","TCP_CHL_057_001",1.269165,"PBS Tidal volume","28e05c322190584"
"0.6966748","2f0r3m6o86g2j5d","Mprip","IMPC_DXA_005_001","C57BL",NA,"Bone Mineral Content (excluding skull)","MGI:1349438"
"MGI:3037818","Cxcl3","C57BL","Early adult","IMPC_CSD_007_001",1.24613,"Coat - color - abdomen","2f1274io5g42rj6"
"2fgv7yb55974886","Ipo8","C57BL","Early adult","Urea (Blood Urea Nitrogen - BUN)",NA,"0.6712728","MGI:2444611"
"MGI:1925836","Srbd1","C57BL","E9.5","IMPC_HEM_029_001",1.327297,"Neutrophil differential count","2k26332ec8h3b24"
"MGI:1913687","Fis1","C57BL","Early adult","IMPC_DXA_003_001",1.055215,"Lean mass","2k911803rwl457l"
"MGI:1196234","Ccdc69","C57BL","Early adult","IMPC_CBC_004_001",1.325155,"Urea (Blood Urea Nitrogen - BUN)","2m74rcp5071522u"
"Igfbp6","Early adult","PBS Tidal volume","TCP_CHL_057_001","C57BL",NA,"2o4q2388ah0r0qt","0.8381785"
"MGI:1923012","Aftph","C57BL","Early adult","GMC_905_001_008",-0.1781875,"Mean corpuscular hemoglobin concentration","2p9f51j2063ohhs"
"Early adult","0.6438506","Urb1","IMPC_DXA_009_001","C57BL",NA,"Fat/Body weight","MGI:2146468"
"E12.5","TCP_CHL_056_001","C57BL","2t34m02l0e463bt","Smarcd3",0.2700862,"baseline Tidal volume","MGI:1914243"
"Mageh1","0.1775406","MGP_CSD_027_001","C57BL","2u4a37ki2o881n9",NA,"Ventral coat/hair colour pattern","Early adult"
"MGI:1349438","MPRIP","C57BL","Early adult","IMPC_IPG_010_001",1.263832,"Fasted blood glucose concentration","2unlkrxw7whih0g"
"MGI:88587","Cyp19a1","C57BL","Early adult","IMPC_CSD_027_001",1.070506,"Ears","2v41b6n7o0n2354"
"0.8392585","2w206dip486z3z4","Early adult","IMPC_HEM_027_001","C57BL",NA,"Red blood cell distribution width","Ppp3cc"
"C57BL","Srbd1","IMPC_EYE_069_001","Left inner nuclear layer","0.4233943",NA,"MGI:1925836","2y32n8j362i3868"
"MGI:1890127","Plxnc1","C57BL","Early adult","IMPC_ECG_004_001",1.192948,"RR","2y7wte891lcc1vj"
"MGI:99502","Ltbp2","C57BL","Early adult","IMPC_OFD_021_001",1.491925,"Number of rears - total","2zc7qc861w7z1yl"
"MGI:1925927","Rnf20","C57BL","E15.5","IMPC_FEA_106_001",1.091804,"Difference in Cue Tone and Cue Baseline % Freezing","315e2870378f5tr"
"MGI:3037818","Cxcl3","C57BL","Early adult","HRWLLA_HEM_035_001",1.102484,"Eosinophil differential count","31800xe4seu4qpy"
"Middle aged adult","IMPC_CSD_033_001","31i04nai913lg3g","Srbd1","0.7156081",NA,"Gait","MGI:1925836"
"MGI:96878","Blnk","C57BL","Early adult","IMPC_EYE_026_001",1.432103,"Retinal Blood Vessels Pattern","31j2mr94zqx6r41"
"MGI:1201374","Anxa8","C57BL","Early adult","GMC_906_001_005",1.242349,"Potassium","31omif262623q39"
"Prepl","C57BL","IMPC_OFD_020_001","Early adult","0.9300012",NA,"Distance travelled - total","32g2za0x7114740"
"0.5333931","MGI:88587","Retina (combined)","332x08ej01ux0b7","IMPC_EYE_092_002",NA,"Cyp19a1","Late adult"
"C57BL","0.4268018","Early adult","Anxa8","MGP_PBI_016_001",NA,"Monocyte percentage","MGI:1201374"
"MGI:1917565","Hdac8","C57BL","Early adult","IMPC_CBC_016_001",1.49745,"HDL-cholesterol","3400ex8n1iqkbs7"
"Stox2","Vibrissae - presence","0.9202621","IMPC_CSD_023_001","E18.5",NA,"MGI:1918319","347kd44i769dh21"
"KLRG1+ NK cells - % of CD45+","C57BL","0.9430314","MGP_IMM_101_001","Early adult",NA,"MGI:102849","Klkb1"
"MGI:1276533","Ncoa2","C57BL","E18.5","ESLIM_008_001_001",1.276486,"Body position","36by06ef3299j04"
"MGI:1918319","Stox2","C57BL","Early adult","GMC_905_001_006",1.112505,"Mean corpuscular volume","36hm054z6c2908l"
"MGI:1925927","Rnf20","C57BL","E15.5","IMPC_CSD_027_001",1.493341,"Ears","376hj63h79k3qxg"
"0.3516239","Alpha-amylase","Elf3","Early adult","GMC_906_001_016",NA,"MGI:1101781","37g6888309t19k3"
"Left inner nuclear layer","Early adult","IMPC_EYE_069_001","C57BL","0.7278197",NA,"37q5x47e096v194","MGI:2141917"
"Basophil differential count","Atg4d","MGI:2444308","Early adult","39x1k9034sd4308",NA,"0.7877254","C57BL"
"MGI:2682314","Mean cell hemoglobin concentration","Zc3h4","HRWLLA_HEM_007_001","C57BL",NA,"0.941313","3e2x18p3g7tubo3"
"GMC_923_001_001","E18.5","Body weight","C57BL","0.733879",NA,"3p95e1o2lt4a1q9","Smarcd3"
"0.9056271","Iws1","C57BL","E9.5","MGI:1920723",NA,"12kHz-evoked ABR Threshold","IMPC_ABR_006_001"
"3u96pai922s4jwb","Otud4","E18.5","MGI:1098801","Lens",NA,"C57BL","0.8190651"
"MGI:2444233","Ythdf2","HRWLLA_HEM_035_001","C57BL","Early adult",NA,"3v6ih2cq73u4m12","0.6632026"
"MGI:2446460","Tpte","C57BL","Early adult","HRWLLA_HEM_007_001",1.130781,"Mean cell hemoglobin concentration","3x99zza51xsmyq4"
"Ly6Clow monocyte number","MGP_PBI_038_001","C57BL","0.663812","3ysy80pa378pvm5",NA,"Dusp22","Early adult"
"Early adult","C57BL","Lrrtm3","3z531re44w7512t","IMPC_CBC_015_001",NA,"Total cholesterol","0.8051279"
"Ccdc69","MGI:1196234","401g51jx89c9nax","0.3101394","Early adult",NA,"Lumbar processes","CCP_XRY_065_001"
"MGI:1918946","Abhd8","C57BL","Early adult","ESLIM_015_001_010",1.242988,"Phosphorus","409zikih0gyr3r7"
"MGI:97525","Pde6b","C57BL","Early adult","IMPC_CBC_002_001",0.3981024,"Potassium","Inf"
"MGI:2389177","0.05796738","Early adult","41995r6kd5b46w5","Lrrtm3",NA,"C57BL","HRWLLA_HEM_008_001"
