"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id"
"MGI:2384959","Cybc1","C57BL","Early adult","IMPC_XRY_057_001","0.1211735","Kyphosis","0000b4e33ek4f65"
"MGI:1920723","Iws1","C57BL","E9.5","IMPC_CBC_004_001","0.3627419","Urea (Blood Urea Nitrogen - BUN)","00049bx751881gz"
"MGI:98446","Med22","C57BL","Early adult","IMPC_EYE_016_001","0.5990324","Lens","0005d4rw06lb33x"
"MGI:3648212","Klhdc7b","C57BL","Early adult","ESLIM_013_001_005","0.1429411","Left retina structure","0006309v5s63455"
"MGI:1098801","Otud4","C57BL","E18.5","IMPC_XRY_033_001","0.1149484","Tibia length","0009eqjkn010v09"
"MGI:1098801","Otud4","C57BL","E18.5","GMC_905_001_006","0.9486334","Mean corpuscular volume","000k937al220z48"
"MGI:1276533","Ncoa2","C57BL","Early adult","HRWLLA_CSD_036_001","0.1486574","Startle response","000t566cih7gzv0"
"MGI:2685335","Mctp2","C57BL","Early adult","ESLIM_015_001_009","0.8704444","Calcium","0013h92265c8b0w"
"MGI:1277143","Gtf2h3","C57BL","E12.5","IMPC_CBC_005_001","0.7338856","Creatinine","001b488rg6v1689"
"MGI:107162","Ppp3cc","C57BL","Early adult","HRWLLA_CBC_004_001","0.7976895","Urea (Blood Urea Nitrogen - BUN)","001h5rah2kb7196"
"MGI:1925836","Srbd1","C57BL","E9.5","ESLIM_011_001_001","0.5650554","BN startle magnitude","001nn0q2000rc58"
"MGI:1925927","Rnf20","C57BL","E9.5","IMPC_OFD_016_001","0.5102383","Center permanence time","001s8bchskw8902"
"MGI:1196295","Ptpn20","C57BL","Early adult","IMPC_CSD_078_001","0.9232004","Vocalization","002201f05q1y68x"
"MGI:1917036","Tprkb","C57BL","Early adult","JAX_OFD_007_001","0.8446002","Whole arena resting time","0027625q2v21u64"
"MGI:2138828","Eps8l2","C57BL","Early adult","IMPC_EYE_092_002","0.1660119","Retina (combined)","002da6zx03u03k5"
"MGI:1920723","Iws1","C57BL","E12.5","IMPC_CBC_013_001","0.1760487","Alanine aminotransferase","003173y72r6r687"
"MGI:1914243","Smarcd3","C57BL","E15.5","IMPC_CSD_080_001","0.1726535","Head bobbing","0036125425t64sc"
"MGI:1925927","Rnf20","C57BL","E9.5","IMPC_XRY_021_001","0.954498","Humerus","0036k3k0qzbv9w8"
"MGI:1277143","Gtf2h3","C57BL","E9.5","GMC_906_001_016","0.2699544","Alpha-amylase","003e8fy84syic2n"
"MGI:1925927","Rnf20","C57BL","E9.5","ESLIM_015_001_002","0.8591402","Urea","003k660issy2i33"
"MGI:1277143","Gtf2h3","C57BL","E12.5","IMPC_DXA_010_001","0.6166771","Bone Area","003u8p42l58an55"
"MGI:1916971","Nkiras1","C57BL","Early adult","IMPC_HEM_027_001","0.7066933","Red blood cell distribution width","003ulg4w87wbl2b"
"MGI:107162","Ppp3cc","C57BL","Early adult","GMC_905_001_006","0.1280119","Mean corpuscular volume","003y677i5p8zi3w"
"MGI:107576","Sipa1","C57BL","Early adult","IMPC_OFD_022_001","0.3697305","Percentage center time","0041vhyxb838zi5"
"MGI:1925836","Srbd1","C57BL","Early adult","M-G-P_005_001_006","0.817238","Body Length","0042k977r3q7gsr"
"MGI:2444308","Atg4d","C57BL","Early adult","IMPC_DXA_004_001","0.4655914","Bone Mineral Density (excluding skull)","00434rz884pn8m9"
"MGI:1341868","Rfc2","C57BL","Early adult","HRWLLA_OFD_010_001","0.2235951","Periphery distance travelled","0046m99t4706ye4"
"MGI:1914281","Upf3a","C57BL","Early adult","IMPC_HEM_038_001","0.6820909","Basophil differential count","004787181z9083w"
"MGI:1333883","Lats1","C57BL","Early adult","IMPC_HEM_040_001","0.4253944","Large Unstained Cell (LUC) differential count","0048hfjy62xp8uo"
"MGI:1925927","Rnf20","C57BL","E12.5","IMPC_DXA_005_001","0.3471041","Bone Mineral Content (excluding skull)","004b00cl6ln8248"
"MGI:99878","Ppm1a","C57BL","Early adult","IMPC_CBC_008_001","0.4332413","Total bilirubin","004i6813p6z54pj"
"MGI:3648212","Klhdc7b","C57BL","Middle aged adult","IMPC_ACS_035_001","0.1800918","% Pre-pulse inhibition - PPI3","004n71zpbl8m7vu"
"MGI:1925927","Rnf20","C57BL","E12.5","eslim_008_001_001","0.4681382","Body position","004v59f119ctdqc"
"MGI:107634","Larp7","C57BL","Early adult","CCP_XRY_065_001","0.5256536","Lumbar processes","00524ps4h7e7hhi"
"MGI:2143539","Gls2","C57BL","Late adult","IMPC_DXA_006_001","0.5514044","Body length","0053u99uyybtosl"
"MGI:1861440","Trim17","C57BL","Early adult","IMPC_HEM_001_001","0.7189941","White blood cell count","005519101fd96at"
"MGI:1916971","Nkiras1","C57BL","Early adult","IMPC_HEM_035_001","0.1471444","Eosinophil differential count","0056d9v816i6695"
"MGI:1917036","Tprkb","C57BL","E9.5","HRWLLA_OFD_019_001","0.4573341","Number of center entries","0056wnf9f794y2a"
"MGI:1925927","Rnf20","C57BL","E15.5","IMPC_HEM_033_001","0.5602161","Monocyte differential count","005es81r5z9f794"
"MGI:3624119","Clec4a4","C57BL","Early adult","IMPC_DXA_002_001","0.7988073","Fat mass","005g7eu42eo2i7g"
"MGI:1344333","Mid2","C57BL",NA,"IMPC_DXA_002_001","0.8394053","Fat mass","005m0dk207m6ly9"
"MGI:2442782","Baz2b","C57BL","Early adult","IMPC_EYE_069_001","0.9473485","Left inner nuclear layer","005n4ht9b3xh2v6"
"MGI:3624119","Clec4a4","C57BL","Early adult","JAXLA_CSD_039_001","0.5828989","Limb grasp","005o8f036554954"
"MGI:1349438","Mprip","C57BL","E15.5","IMPC_HEM_032_001","0.6448255","Lymphocyte cell count","0064ll9eq7z8p3z"
"MGI:2441932","Prepl","C57BL","Early adult","IMPC_DXA_007_001","0.4933836","BMC/Body weight","006lo3c48244nz4"
