"gene_accession_id","disease_id"
"MGI:107177","DOID:0112248"
"MGI:2445096","DOID:0111453"
"MGI:2686271","DOID:0110004"
"MGI:2447813","DOID:0110001"
"MGI:3622477","DOID:14221"
"MGI:104663","DOID:14221"
"MGI:1926609","DOID:14221"
"MGI:5828147","DOID:14221"
"MGI:88476","DOID:0050711"
"MGI:96794","DOID:9164"
"MGI:97360","DOID:9164"
"MGI:1345138","DOID:9164"
"MGI:1861746","DOID:0050603"
"MGI:1924393","DOID:0080054"
"MGI:88452","DOID:0080056"
"MGI:2150019","DOID:4480"
"MGI:2181550","DOID:4480"
"MGI:97800","DOID:4480"
"MGI:99602","DOID:4480"
"MGI:95524","DOID:4480"
"MGI:2388108","DOID:4480"
"MGI:97369","DOID:4480"
"MGI:97372","DOID:4480"
"MGI:1341818","DOID:0110007"
"MGI:1353562","DOID:0110008"
"MGI:95779","DOID:0110010"
"MGI:1926157","DOID:0110009"
"MGI:1098239","DOID:9250"
"MGI:95523","DOID:12960"
"MGI:1919277","DOID:0050605"
"MGI:104878","DOID:14669"
"MGI:95688","DOID:0080052"
"MGI:95688","DOID:0080051"
"MGI:97372","DOID:0080050"
"MGI:5805517","DOID:7004"
"MGI:96112","DOID:3890"
"MGI:3822839","DOID:12603"
"MGI:96995","DOID:9952"
"MGI:4889197","DOID:9952"
"MGI:102811","DOID:9952"
"MGI:99460","DOID:9952"
"MGI:5788538","DOID:9952"
"MGI:4843438","DOID:9952"
"MGI:109583","DOID:9952"
"MGI:107940","DOID:9952"
"MGI:99480","DOID:9119"
"MGI:5558102","DOID:9119"
"MGI:2444354","DOID:9119"
"MGI:6315192","DOID:9119"
"MGI:96995","DOID:9119"
"MGI:5548207","DOID:9119"
"MGI:98282","DOID:9119"
"MGI:101785","DOID:9119"
"MGI:2684063","DOID:9119"
"MGI:95559","DOID:9119"
"MGI:1098280","DOID:9119"
"MGI:5306984","DOID:0060318"
"MGI:2673324","DOID:0060318"
"MGI:1859388","DOID:0060227"
"MGI:88061","DOID:0060350"
"MGI:87916","DOID:5810"
"MGI:2683065","DOID:5810"
"MGI:1891158","DOID:0080150"
"MGI:1349215","DOID:10588"
"MGI:87983","DOID:0110913"
"MGI:88516","DOID:0080093"
"MGI:6103871","DOID:0080093"
"MGI:5468018","DOID:0080093"
"MGI:3837441","DOID:0110011"
"MGI:1195265","DOID:0110011"
"MGI:3837570","DOID:0110012"
"MGI:3837571","DOID:0110012"
"MGI:2135960","DOID:0090003"
"MGI:98935","DOID:0110014"
"MGI:3575688","DOID:0110014"
"MGI:88518","DOID:0110014"
"MGI:1333815","DOID:0110024"
"MGI:88385","DOID:0110017"
"MGI:1926321","DOID:1474"
"MGI:1336209","DOID:0060341"
"MGI:1347465","DOID:0060341"
"MGI:1328317","DOID:0050629"
"MGI:1889575","DOID:0050629"
"MGI:1916330","DOID:0112321"
"MGI:1095416","DOID:9245"
"MGI:1927073","DOID:0050741"
"MGI:3581786","DOID:4252"
"MGI:95697","DOID:4252"
"MGI:3809242","DOID:4252"
"MGI:3581778","DOID:4252"
"MGI:96078","DOID:9270"
"MGI:1203732","DOID:0050631"
"MGI:2385321","DOID:986"
"MGI:96223","DOID:0050634"
"MGI:98376","DOID:13372"
"MGI:3847800","DOID:13372"
"MGI:107173","DOID:0060601"
"MGI:107286","DOID:3413"
"MGI:1098273","DOID:0060602"
"MGI:96014","DOID:1099"
"MGI:103067","DOID:0110030"
"MGI:1934606","DOID:0050473"
"MGI:88107","DOID:0050635"
"MGI:3693363","DOID:0110042"
"MGI:3693207","DOID:0110042"
"MGI:1202717","DOID:0110042"
"MGI:3618598","DOID:0110042"
"MGI:3525178","DOID:0110042"
"MGI:2448606","DOID:0110040"
"MGI:96678","DOID:0111060"
"MGI:1353466","DOID:0110060"
"MGI:3583957","DOID:0110061"
"MGI:1333772","DOID:0110052"
"MGI:88005","DOID:0110058"
"MGI:3716187","DOID:0110058"
"MGI:2443373","DOID:0111722"
"MGI:4849841","DOID:0060193"
"MGI:5621056","DOID:0060193"
"MGI:4452507","DOID:0060193"
"MGI:2388294","DOID:0060193"
"MGI:3793783","DOID:0060193"
"MGI:2183652","DOID:0060193"
"MGI:5449891","DOID:0060193"
"MGI:5630055","DOID:0060193"
"MGI:1298397","DOID:0060193"
"MGI:2388309","DOID:0060193"
"MGI:2178798","DOID:0060193"
"MGI:2388308","DOID:0060193"
"MGI:2388295","DOID:0060193"
"MGI:2388297","DOID:0060193"
"MGI:2388296","DOID:0060193"
"MGI:5621171","DOID:0060193"
"MGI:2183553","DOID:0060193"
"MGI:3785089","DOID:0060193"
"MGI:5449419","DOID:0060193"
"MGI:98351","DOID:0060193"
"MGI:98352","DOID:0060193"
"MGI:5499105","DOID:0060193"
"MGI:4440538","DOID:0060193"
"MGI:5699309","DOID:0060193"
"MGI:5699311","DOID:0060193"
"MGI:5308397","DOID:0060193"
"MGI:5621060","DOID:0060193"
"MGI:5286584","DOID:0060193"
"MGI:5448545","DOID:0060193"
"MGI:3629225","DOID:0060193"
"MGI:5297586","DOID:0060193"
"MGI:5575974","DOID:0060193"
"MGI:103178","DOID:0060193"
"MGI:3573957","DOID:0060193"
"MGI:3573959","DOID:0060193"
"MGI:3573960","DOID:0060193"
"MGI:4843142","DOID:0060193"
"MGI:2183653","DOID:0060193"
"MGI:5000262","DOID:0060201"
"MGI:5922012","DOID:0060201"
"MGI:5559587","DOID:0060201"
"MGI:5476818","DOID:0060201"
"MGI:5476817","DOID:0060201"
"MGI:5476814","DOID:0060201"
"MGI:5463118","DOID:0060201"
"MGI:2387629","DOID:0060201"
"MGI:5310798","DOID:0060201"
"MGI:5002478","DOID:0060201"
"MGI:5000263","DOID:0060201"
"MGI:4839652","DOID:0060201"
"MGI:4839651","DOID:0060201"
"MGI:4438487","DOID:0060201"
"MGI:4438486","DOID:0060201"
"MGI:4358721","DOID:0060201"
"MGI:5829049","DOID:0060206"
"MGI:5896607","DOID:0060206"
"MGI:1298379","DOID:0060212"
"MGI:108481","DOID:0080225"
"MGI:2443480","DOID:0060196"
"MGI:6881753","DOID:0060196"
"MGI:5644689","DOID:0060198"
"MGI:5644688","DOID:0060198"
"MGI:1353633","DOID:0060198"
"MGI:5577177","DOID:0060198"
"MGI:5618416","DOID:0060198"
"MGI:5445409","DOID:0060198"
"MGI:6476960","DOID:0060198"
"MGI:5544192","DOID:0050752"
"MGI:4818966","DOID:0050801"
"MGI:88064","DOID:4674"
"MGI:95543","DOID:4674"
"MGI:1923799","DOID:0060668"
"MGI:107444","DOID:0060668"
