"omim_id","disease_id"
"OMIM:264300","DOID:0112248"
"OMIM:204750","DOID:0111453"
"OMIM:258501","DOID:0110004"
"OMIM:614739","DOID:0110001"
"OMIM:605552","DOID:14221"
"OMIM:604290","DOID:0050711"
"OMIM:200400","DOID:9164"
"OMIM:200500","DOID:0050603"
"OMIM:200600","DOID:0080054"
"OMIM:200610","DOID:0080056"
"OMIM:100800","DOID:4480"
"OMIM:216900","DOID:0110007"
"OMIM:262300","DOID:0110008"
"OMIM:613856","DOID:0110010"
"OMIM:616517","DOID:0110009"
"OMIM:200990","DOID:9250"
"OMIM:101200","DOID:12960"
"OMIM:201100","DOID:0050605"
"OMIM:101800","DOID:14669"
"OMIM:614613","DOID:14669"
"OMIM:200700","DOID:0080052"
"OMIM:201250","DOID:0080051"
"OMIM:602875","DOID:0080050"
"OMIM:219090","DOID:7004"
"OMIM:176000","DOID:3890"
"OMIM:308960","DOID:12603"
"OMIM:247640","DOID:9952"
"OMIM:613065","DOID:9952"
"OMIM:601626","DOID:9119"
"OMIM:612376","DOID:0060318"
"OMIM:100300","DOID:0060227"
"OMIM:614219","DOID:0060227"
"OMIM:615297","DOID:0060227"
"OMIM:616028","DOID:0060227"
"OMIM:614723","DOID:0060350"
"OMIM:102700","DOID:5810"
"OMIM:201400","DOID:0080150"
"OMIM:300100","DOID:10588"
"OMIM:146300","DOID:0110913"
"OMIM:608810","DOID:0080093"
"OMIM:604348","DOID:0110011"
"OMIM:615224","DOID:0110012"
"OMIM:218000","DOID:0090003"
"OMIM:603075","DOID:0110014"
"OMIM:613784","DOID:0110024"
"OMIM:610698","DOID:0110017"
"OMIM:170650","DOID:1474"
"OMIM:608526","DOID:1474"
"OMIM:202650","DOID:0060341"
"OMIM:225750","DOID:0050629"
"OMIM:610181","DOID:0050629"
"OMIM:610329","DOID:0050629"
"OMIM:610333","DOID:0050629"
"OMIM:612952","DOID:0050629"
"OMIM:615010","DOID:0050629"
"OMIM:615846","DOID:0050629"
"OMIM:615510","DOID:0112321"
"OMIM:118450","DOID:9245"
"OMIM:610205","DOID:9245"
"OMIM:103780","DOID:0050741"
"OMIM:203450","DOID:4252"
"OMIM:203500","DOID:9270"
"OMIM:300523","DOID:0050631"
"OMIM:104000","DOID:986"
"OMIM:610753","DOID:986"
"OMIM:203655","DOID:0050634"
"OMIM:613490","DOID:13372"
"OMIM:262850","DOID:0060601"
"OMIM:248500","DOID:3413"
"OMIM:614307","DOID:0060602"
"OMIM:604131","DOID:1099"
"OMIM:301040","DOID:0110030"
"OMIM:203800","DOID:0050473"
"OMIM:104290","DOID:0050635"
"OMIM:614820","DOID:0050635"
"OMIM:607822","DOID:0110042"
"OMIM:606889","DOID:0110040"
"OMIM:145701","DOID:0111060"
"OMIM:612529","DOID:0110060"
"OMIM:613211","DOID:0110061"
"OMIM:104500","DOID:0110052"
"OMIM:301200","DOID:0110058"
"OMIM:618386","DOID:0111722"
"OMIM:105400","DOID:0060193"
"OMIM:612069","DOID:0060201"
"OMIM:300857","DOID:0060206"
"OMIM:606070","DOID:0060212"
"OMIM:617839","DOID:0080225"
"OMIM:602433","DOID:0060196"
"OMIM:608030","DOID:0060198"
"OMIM:608627","DOID:0050752"
"OMIM:109200","DOID:0050801"
"OMIM:300710","DOID:0050801"
"OMIM:612421","DOID:0050801"
"OMIM:300068","DOID:4674"
"OMIM:206500","DOID:0060668"
"OMIM:105830","DOID:1932"
"OMIM:106260","DOID:0090119"
"OMIM:106280","DOID:0060604"
"OMIM:600919","DOID:0111700"
